SiteName,MonitorDate,AQI
桃園,2021/9/20,60
中壢,2021/9/20,57
平鎮,2021/9/20,56
龍潭,2021/9/21,39
觀音,2021/9/21,30
大園,2021/9/21,34
桃園,2021/9/21,47
中壢,2021/9/21,51
平鎮,2021/9/21,45
觀音,2021/9/22,38
龍潭,2021/9/22,35
大園,2021/9/22,40
桃園,2021/9/22,34
中壢,2021/9/22,55
平鎮,2021/9/22,36
平鎮,2021/9/23,74
桃園,2021/9/23,34
大園,2021/9/23,43
觀音,2021/9/23,44
龍潭,2021/9/23,100
中壢,2021/9/23,58
大園,2021/9/24,25
中壢,2021/9/24,35
龍潭,2021/9/24,23
平鎮,2021/9/24,28
觀音,2021/9/24,33
桃園,2021/9/24,30
大園,2021/9/25,46
觀音,2021/9/25,53
平鎮,2021/9/25,50
龍潭,2021/9/25,43
中壢,2021/9/25,48
桃園,2021/9/25,50
龍潭,2021/9/27,30
桃園,2021/9/27,34
大園,2021/9/27,38
觀音,2021/9/27,37
中壢,2021/9/27,51
平鎮,2021/9/27,37
中壢,2021/9/28,54
桃園,2021/9/28,40
大園,2021/9/28,40
觀音,2021/9/28,44
平鎮,2021/9/28,36
龍潭,2021/9/28,42
觀音,2021/9/29,47
大園,2021/9/29,55
桃園,2021/9/29,58
中壢,2021/9/29,58
龍潭,2021/9/29,84
平鎮,2021/9/29,52
大園,2021/9/30,52
桃園,2021/9/30,64
平鎮,2021/9/30,58
觀音,2021/9/30,56
龍潭,2021/9/30,97
中壢,2021/9/30,60
龍潭,2021/10/1,97
桃園,2021/10/1,93
中壢,2021/10/1,67
大園,2021/10/1,90
觀音,2021/10/1,112
平鎮,2021/10/1,74
大園,2021/10/2,46
中壢,2021/10/2,50
龍潭,2021/10/2,71
平鎮,2021/10/2,49
觀音,2021/10/2,48
桃園,2021/10/2,51
龍潭,2021/10/3,49
中壢,2021/10/3,52
大園,2021/10/3,46
觀音,2021/10/3,48
平鎮,2021/10/3,45
桃園,2021/10/3,44
桃園,2021/10/4,33
平鎮,2021/10/4,34
龍潭,2021/10/4,46
中壢,2021/10/4,57
觀音,2021/10/4,45
大園,2021/10/4,32
中壢,2021/10/5,45
龍潭,2021/10/5,37
平鎮,2021/10/5,36
觀音,2021/10/5,41
大園,2021/10/5,42
桃園,2021/10/5,31
平鎮,2021/10/6,23
桃園,2021/10/6,22
大園,2021/10/6,36
觀音,2021/10/6,26
龍潭,2021/10/6,24
中壢,2021/10/6,38
龍潭,2021/10/7,44
桃園,2021/10/7,28
大園,2021/10/7,32
觀音,2021/10/7,44
平鎮,2021/10/7,35
中壢,2021/10/7,52
桃園,2021/10/8,28
龍潭,2021/10/8,28
中壢,2021/10/8,40
平鎮,2021/10/8,28
觀音,2021/10/8,31
大園,2021/10/8,20
龍潭,2021/10/9,28
中壢,2021/10/9,33
平鎮,2021/10/9,29
觀音,2021/10/9,32
大園,2021/10/9,33
桃園,2021/10/9,29
龍潭,2021/10/10,23
中壢,2021/10/10,25
桃園,2021/10/10,24
大園,2021/10/10,25
觀音,2021/10/10,26
平鎮,2021/10/10,24
平鎮,2021/10/11,16
桃園,2021/10/11,19
大園,2021/10/11,20
觀音,2021/10/11,29
龍潭,2021/10/11,17
中壢,2021/10/11,22
龍潭,2021/10/12,19
觀音,2021/10/12,28
中壢,2021/10/12,30
桃園,2021/10/12,23
平鎮,2021/10/12,25
大園,2021/10/12,20
桃園,2021/10/13,25
龍潭,2021/10/13,33
平鎮,2021/10/13,32
中壢,2021/10/13,45
觀音,2021/10/13,27
大園,2021/10/13,27
觀音,2021/10/14,23
中壢,2021/10/14,40
龍潭,2021/10/14,35
平鎮,2021/10/14,25
桃園,2021/10/14,18
大園,2021/10/14,27
中壢,2021/10/15,45
桃園,2021/10/15,31
大園,2021/10/15,29
觀音,2021/10/15,35
平鎮,2021/10/15,31
龍潭,2021/10/15,30
大園,2021/10/16,39
中壢,2021/10/16,37
觀音,2021/10/16,54
龍潭,2021/10/16,31
平鎮,2021/10/16,35
桃園,2021/10/16,37
桃園,2021/10/17,36
大園,2021/10/17,34
觀音,2021/10/17,37
